dataset,objective,noise_std_fraction,seed,index,x,y,label
digits,kl,0.0,101,0,-2.26424503326416,-7.014400959014893,7
digits,kl,0.0,101,1,3.7817084789276123,6.072065830230713,4
digits,kl,0.0,101,2,5.8283915519714355,-4.811187744140625,1
digits,kl,0.0,101,3,4.629800796508789,3.740675210952759,4
digits,kl,0.0,101,4,-0.0413486622273922,0.13757142424583435,8
digits,kl,0.0,101,5,-0.6882162094116211,-0.37717464566230774,8
digits,kl,0.0,101,6,-3.1660876274108887,-3.9767961502075195,5
digits,kl,0.0,101,7,-4.807562828063965,-6.425518989562988,5
digits,kl,0.0,101,8,-3.1646859645843506,-1.7338266372680664,5
digits,kl,0.0,101,9,-4.966209411621094,-1.6652635335922241,5
digits,kl,0.0,101,10,5.261228084564209,6.640805244445801,4
digits,kl,0.0,101,11,-1.7627391815185547,-1.1713346242904663,5
digits,kl,0.0,101,12,6.2394938468933105,0.8700834512710571,6
digits,kl,0.0,101,13,-0.40851277112960815,-6.81017541885376,7
digits,kl,0.0,101,14,2.5976414680480957,-6.182891845703125,2
digits,kl,0.0,101,15,6.003487586975098,-1.453062653541565,6
digits,kl,0.0,101,16,-3.427295207977295,4.336998462677002,3
digits,kl,0.0,101,17,1.7020267248153687,-2.006459951400757,1
digits,kl,0.0,101,18,5.0963568687438965,1.4636939764022827,0
digits,kl,0.0,101,19,5.9443864822387695,-6.120966911315918,2
digits,kl,0.0,101,20,-6.952108383178711,-0.6949334144592285,0
digits,kl,0.0,101,21,6.797003746032715,-5.640586853027344,2
digits,kl,0.0,101,22,6.762902736663818,0.3226602375507355,6
digits,kl,0.0,101,23,-4.181210994720459,-3.900594472885132,5
digits,kl,0.0,101,24,-8.292774200439453,-0.1997363418340683,0
digits,kl,0.0,101,25,-8.658326148986816,0.06208667904138565,0
digits,kl,0.0,101,26,6.545182704925537,-7.080406188964844,2
digits,kl,0.0,101,27,4.7944841384887695,4.270608901977539,4
digits,kl,0.0,101,28,-7.770566463470459,-0.8330115675926208,0
digits,kl,0.0,101,29,5.154038906097412,4.644225597381592,4
digits,kl,0.0,101,30,7.552504539489746,-0.6690844297409058,6
digits,kl,0.0,101,31,-5.876162052154541,2.0474932193756104,5
digits,kl,0.0,101,32,-4.317286014556885,6.500524520874023,3
digits,kl,0.0,101,33,4.071504592895508,0.24527649581432343,6
digits,kl,0.0,101,34,-7.586493015289307,-0.04158002510666847,0
digits,kl,0.0,101,35,-0.32270723581314087,7.745308876037598,7
digits,kl,0.0,101,36,1.2454166412353516,-1.3297957181930542,8
digits,kl,0.0,101,37,3.5378787517547607,-8.02276611328125,2
digits,kl,0.0,101,38,1.7704520225524902,-2.886248826980591,1
digits,kl,0.0,101,39,2.1734619140625,9.296749114990234,7
digits,kl,0.0,101,40,5.362152099609375,-0.15009216964244843,6
